09:46:09 [ERROR] Failed: /home/kimghw/iacs/UR/UR_P/ur-p1rev5.pdf (exit: 1, retries: 3)
09:46:11 [ERROR] Failed: /home/kimghw/iacs/UR/UR_P/ur-p5del.pdf (exit: 1, retries: 3)
09:46:13 [ERROR] Failed: /home/kimghw/iacs/UR/UR_P/ur-p6rev1.pdf (exit: 1, retries: 3)
09:46:17 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/UR-S10-Rev-8-Sep-2025-CLN.pdf (exit: 1, retries: 3)
09:46:18 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/UR-S35Corr1.pdf (exit: 1, retries: 3)
09:46:22 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s11a.pdf (exit: 1, retries: 3)
09:46:22 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s11rev10.pdf (exit: 1, retries: 3)
09:46:23 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s12rev5.pdf (exit: 1, retries: 3)
09:46:24 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s13rev2corr1.pdf (exit: 1, retries: 3)
09:46:27 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s15rev1.pdf (exit: 1, retries: 3)
09:46:27 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s16corr1.pdf (exit: 1, retries: 3)
09:46:31 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s17rev10.pdf (exit: 1, retries: 3)
09:46:32 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s18rev10.pdf (exit: 1, retries: 3)
09:46:33 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s19rev5.pdf (exit: 1, retries: 3)
09:46:35 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s1arev6.pdf (exit: 1, retries: 3)
09:46:39 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s1rev7.pdf (exit: 1, retries: 3)
09:46:40 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s20-rev6.pdf (exit: 1, retries: 3)
09:46:41 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s21adel.pdf (exit: 1, retries: 3)
09:46:42 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s21rev6.pdf (exit: 1, retries: 3)
09:46:46 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s22rev3.pdf (exit: 1, retries: 3)
09:46:49 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s23rev4.pdf (exit: 1, retries: 3)
09:47:53 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s24del.pdf (exit: 1, retries: 3)
09:47:56 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s25del.pdf (exit: 1, retries: 3)
09:48:00 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s27rev6.pdf (exit: 1, retries: 3)
09:48:00 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s26rev5.pdf (exit: 1, retries: 3)
09:48:04 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s28rev3.pdf (exit: 1, retries: 3)
09:48:05 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s2rev2.pdf (exit: 1, retries: 3)
09:48:07 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s31rev4.pdf (exit: 1, retries: 3)
09:48:08 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s30corr1.pdf (exit: 1, retries: 3)
09:48:12 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s32-draft-del-may-2010.pdf (exit: 1, retries: 3)
09:48:13 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s33rev3.pdf (exit: 1, retries: 3)
09:48:17 [ERROR] Failed: /home/kimghw/iacs/UR/UR_S/ur-s34.pdf (exit: 1, retries: 3)
